,title,description,type,rating
4708,Outlawed,"After a failed mission, an ex-Royal Marines Commando tries to overcome his demons while investigating the death of his ex-girlfriend's father.",Movie,TV-MA
4709,Outside In,"After serving time for a crime he didn’t commit, a 38-year-old man forms a complicated, life-altering bond with the woman who advocated for his early release.",Movie,TV-MA
4710,Outside the Wire,"In the near future, a drone pilot sent into a war zone finds himself paired with a top-secret android officer on a mission to stop a nuclear attack.",Movie,R
4711,Over Christmas,Down-and-out musician Bastian battles the blues as he returns home for Christmas and encounters a series of not-so-cheery surprises.,TV Show,TV-MA
4713,Overnight Republic,"A mayoral candidate wins office, promising to turn a small province into its own country as a war and wacky events with his wife and advisors ensue.",Movie,TV-MA
4714,Oversize Cops,"While investigating a bank robbery, a squad of overweight police officers undergoes rigorous training to shed pounds.",Movie,TV-MA
4715,Oye Lucky! Lucky Oye!,"Starting as a petty thief, a man rises to become one of the city's biggest operators and carves out the kind of lifestyle he'd once only dreamed of.",Movie,TV-14
4716,Ozark,"A financial adviser drags his family from Chicago to the Missouri Ozarks, where he must launder $500 million in five years to appease a drug boss.",TV Show,TV-MA
4717,P,"An orphan girl taught magic by her sick grandma must find work in seedy Bangkok, where unsavory characters run afoul of her increasingly dark powers.",Movie,TV-MA
4718,P Se PM Tak,A prostitute who is down on her luck gets caught in the middle of an elaborate scheme orchestrated by two local politicians.,Movie,TV-14
4719,P. King Duckling,"P. King, the daring but hapless duck, teams up with best buddies Wombat and Chumpkins to find wacky and wild ways to solve their problems.",TV Show,TV-Y
4720,P.S. I Love You,"When she loses her beloved husband to a brain tumor, grieving widow Holly Kennedy learns that he left a series of letters behind to help her cope.",Movie,PG-13
4721,Paan Singh Tomar,Paan Singh Tomar goes from celebrated runner to star brigand and rebel when life after sports fails to unfold as planned.,Movie,TV-14
4723,Paathi,A face painter for Theyyam rituals who is himself disfigured conceals his guilt over the fact that he performs abortions as a medical practitioner.,Movie,TV-14
4724,Paava Kadhaigal,"At times dark, at times disturbing, four short films explore stories of those who dare to dream and desire — and those determined to stand in their way.",TV Show,TV-MA
4725,Pablo,"Equipped with crayons and his creativity, a boy with autism draws an imaginary world where his animal pals help him tackle real-life situations.",TV Show,TV-Y
4726,"Pablo Escobar, el patrón del mal","From his days as a petty thief to becoming head of a drug-trafficking empire, this riveting series charts the life of the infamous Pablo Escobar.",TV Show,TV-MA
4731,Pacific Heat,"In this animated satire, a covert squad of operatives short on smarts but long on confidence tackles crime on the glitzy Gold Coast of Australia.",TV Show,TV-14
4733,Pad Man,"Despite public humiliation and resistance, an entrepreneur markets a hygienic, low-cost sanitary pad that even India's poorest women can afford.",Movie,PG-13
4734,Padamu Aku Bersujud,"The son of poor farmers leaves his village to seek his fortune in Kuala Lumpur, where he meets a young woman who's also trying to better her life.",TV Show,TV-14
4735,Paddleton,"After he's diagnosed with terminal cancer, middle-aged Michael asks his neighbor friend Andy to help him end his life before the disease does.",Movie,TV-MA
4736,Pagpag: Nine Lives,"After ignoring superstitions, a group of teenagers find themselves in a fight for their lives when they are haunted — and hunted — by an evil spirit.",Movie,TV-14
4737,Paharganj,"In the underbelly of a Delhi neighborhood, a woman’s search for her missing lover collides with drugs, death and a coach grappling with his demons.",Movie,TV-MA
4738,Paheli,Traditional Indian folklore comes alive in this charming film based on a story by Statwart Vijaydan Detha.,Movie,TV-PG
4739,Pahuna,"Fleeing unrest in their native Nepal, three young siblings separated from their parents must beat the odds to survive on their own in India.",Movie,TV-PG
4740,Pahuyut Fighting Beat,"When profit-seekers threaten to take over a bar in a tourist town, local martial artists put their skills to the test and fight back.",Movie,TV-MA
4741,Paid in Full,This fictionalized account of three real-life notorious Harlem drug dealers is told in flashbacks as they plunge into the world of hustling.,Movie,R
4742,Paint It Black,"In the wake of a young artist’s suicide, his pianist mother and his despairing girlfriend square off in a living nightmare beset by guilt and blame.",Movie,R
4743,Painted Faces,"In this dramatized rendition, students undergo rigorous study at Master Yu's Peking Opera school, a cradle for future Hong Kong film stars.",Movie,TV-PG
4744,Pajanimals,"From the comfort of their bedroom, the Pajanimals puppets explore a larger world through imaginary adventures, accompanied by friendships and songs.",TV Show,TV-Y
4745,Palazuelos mi rey,"This reality series follows entrepreneur and soap opera star Roberto Palazuelos as he builds his hotel empire and juggles riches, women and drama.",TV Show,TV-14
4746,Palermo Hollywood,A pair of petty criminals from different backgrounds get tangled up in a gangster's kidnapping scheme that goes awry.,Movie,TV-MA
4747,Palio,"In this documentary, a centuries-old horse race in the city of Siena, Italy, is the forum for a showdown between a young jockey and his former mentor.",Movie,TV-14
4748,Palm Trees in the Snow,"Finding a tantalizing clue in an old letter, a young woman journeys to her family's tropical plantation to uncover generations of secrets.",Movie,TV-MA
4749,Pan's Labyrinth,Young Ofelia meets a mythical faun who claims she is destined to become princess of the Underworld. But first she must carry out three perilous tasks.,Movie,R
4750,Pandemic: How to Prevent an Outbreak,"In this docuseries, meet the heroes on the front lines of the battle against influenza and learn about their efforts to stop the next global outbreak.",TV Show,TV-14
4751,Pandigai,"Looking for a way out of his impoverished life, a lowly hotel waiter joins an underground fight club. Then he needs a way out of that.",Movie,TV-MA
4752,Pandora,"When an earthquake hits a Korean village housing a run-down nuclear power plant, a man risks his life to save the country from imminent disaster.",Movie,TV-MA
4753,Panic Room,A woman and her daughter are caught in a game of cat-and-mouse with burglars in their New York City home and are forced to retreat inside a vault.,Movie,R
4754,Panipat - The Great Betrayal,"In 18th-century India, a Maratha commander leads his army in preparation for a fierce battle against Afghan invaders in this film based on real events.",Movie,TV-14
4755,Panoptic,This documentary dissects Lebanon's present-day paradoxes stemming from years of conflict as the director attempts to reconcile with her nation's past.,Movie,TV-MA
4757,Papa the Great,"After witnessing a murder, a meek family man must summon his courage when he finds himself on the wrong side of a notorious gangster.",Movie,TV-PG
4758,Paper Year,"A young newlywed tries to keep her relationship afloat after developing feelings for her older, TV writer boss.",Movie,TV-MA
4759,Paprika,Stan and Olivia – the amazingly different Paprika twins – use their boundless enthusiasm to turn everyday life into an extraordinary adventure.,TV Show,TV-Y
4760,Paquita Salas,"One of Spain's best talent agents in the '90s, Paquita now finds herself searching desperately for new stars after suddenly losing her biggest client.",TV Show,TV-MA
4761,Paradise Beach,"Mehdi gets out of prison, planning to settle old scores. But first, he must reconnect with his gang, now living in an idyllic beach resort in Thailand.",Movie,TV-MA
4762,Paradise Lost,"A cop moonlights as the bodyguard for a young drag queen at a nightclub, and grows closer to the family of misfit singers that perform there.",Movie,TV-MA
4763,Paradise PD,"An eager young rookie joins the ragtag small-town police force led by his dad as they bumble, squabble and snort their way through a big drug case.",TV Show,TV-MA
4764,Paradox,Neil Young and his band of outlaws sow seeds of strange mischief and musical wonder under Western skies in this dreamlike film by Daryl Hannah.,Movie,TV-MA
4765,Paranoid,"When a woman is brutally murdered on a playground, a group of detectives find themselves drawn into a dark conspiracy as they search for the killer.",TV Show,TV-MA
4766,Paranormal,"After a skeptical hematologist is plunged into a series of inexplicable events, he unwillingly becomes the go-to-guy for paranormal investigations.",TV Show,TV-14
4767,Paranormal Activity,"When Katie and Micah fear their home may be haunted by a demonic presence, Micah sets up a video camera to document all the action.",Movie,R
4768,Paranormal Investigation,"When a young man becomes possessed after playing a Ouija game, a ghost hunter investigates the evil spirit dwelling within him.",Movie,TV-14
4769,Paranormal Survivor,"In interviews and reenactments, ordinary people relive their terrifying encounters with unwelcome guests from beyond the world of the living.",TV Show,TV-14
4771,Parasyte: The Maxim,"A teenager battles an onslaught of parasites from space with help from Migi, a docile parasitic creature that's taken over his right hand.",TV Show,TV-MA
4772,Parchís: the Documentary,"The spotlight's on Parchís, a record company-created Spanish boy/girl band that had unprecedented success with Top 10 songs and hit films in the '80s.",Movie,TV-14
